iter	Passed	Remaining
0	2	210
1	4	219
2	6	205
3	7	180
4	8	168
5	10	159
6	11	152
7	12	146
8	14	141
9	15	137
10	16	134
11	17	131
12	19	128
13	20	125
14	21	123
15	23	120
16	24	118
17	25	116
18	26	114
19	28	112
20	29	110
21	30	108
22	31	107
23	33	105
24	34	103
25	35	101
26	37	100
27	38	98
28	39	96
29	40	94
30	41	92
31	42	90
32	43	88
33	44	87
34	46	85
35	46	83
36	47	81
37	48	79
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	52	67
44	53	65
45	54	63
46	55	62
47	55	60
48	56	59
49	57	57
50	58	55
51	58	54
52	59	52
53	60	51
54	60	49
55	61	48
56	61	46
57	62	45
58	63	44
59	63	42
60	64	41
61	65	39
62	65	38
63	66	37
64	67	36
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	16
82	77	15
83	78	14
84	79	13
85	79	12
86	80	12
87	80	11
88	81	10
89	82	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	86	1
98	87	0
99	88	0
